Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-Väisälä frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
,,,February 2000,,2/26/00 18:19,1490,10,3,7.00E+09,3.50E+09,3.66,0.5,2.4,0.7,0.012922758,12.52806677,0.002529761,263.2357462,810.6642016,73.57024025,0.001639343,"Rose et al (2003), Moune et al (2007)",We assumed 50% uncertainty on erupted mass
,,,,,,,,,,,,,,,,,,,,,,,
Mt Hudson,-45.9,-72.97,August 1991,S,8/12/92 16:00,1905,12.5,3,6.50E+12,1.80E+12,58,3,2,1,0.014493275,30.04910042,0.004013764,271.0604544,797.8218433,83.46163086,0.003532036,"Scasso et al (1994), Bonadonna and Houghton (2005), Kratzmann et al (2009), Kratzmann et al (2010), personnal communication with David Kratzmann (November 2016)",We assumed a 3 hr uncertainty on the eruption duration
,,,,,,,,,,,,,,,,,,,,,,,
Kasatochi,52.177,-175.08,August 2008,,8/8/08 4:35,300,10.7,3,2.40E+11,1.00E+11,15,4,6,0.9,0.011492727,13.16377144,0.002414494,283.2975165,978.0498716,98.35541219,0.007816182,"Izbekov et al (2009), Waythomas et al (2010), Corradini et al (2010), Bitar et al (2010)",Waythomas et al (2010) report volume estimate but not the bulk density of the deposit. We assumed a density of 1100km/m3 with a 30% uncertainty.
,,,,,,,,,,,,,,,,,,,,,,,
Kelut,-7.93,112.308,1990,,2/10/90 4:41,1731,10.3,2,8.00E+10,4.00E+10,4.5,1,,,0.011286522,5.297479968,0.000697097,289.9399855,830.5359787,67.88781492,0.009777109,"Global Volcanism Program (1990), Bourdier et al (1997)",We assumed 50% uncertainty on erupted mass
,,,2014,,2/13/14 15:50,1731,17,3,4.90E+11,1.60E+11,2.75,0.75,1.5,0.8,0.011711774,14.13214995,0.001601897,289.7379091,828.6376218,72.75526326,0.010517829,"Suzuki et al (2014), Cassidy et al (2015), Caudron et al (2015), Kristiansen et al (2015), Vernier et al (2016), Kylling (2016), personnal communication with Fukashi Maeno (July 2016)",
,,,,,,,,,,,,,,,,,,,,,,,
Merapi,-7.542,110.442,2010,,11/4/10 17:05,2968,14.5,2,3.70E+10,1.90E+10,30,6,5,1,0.010557118,6.340490312,0.000792861,283.3301606,714.8291282,85.87381929,0.009261772,"Global Volcanism Program (2011), Surano et al (2012), Costa et al (2013), Solikin et al (2015) Shibata and Kinoshita (2016)",
