Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-VÃ¤isÃ¤lÃ¤ frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
Mt St Helens,,,,,7/23/1980 3:00,2550,6.5,3,5.20E+09,1.20E+09,2.66,0.25,1,0.4,0.010302596,18.0415293,0.00471544,283.9670372,752.5309615,31.11644175,0.003586097,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Underwood et al (2013)","The erupted mass estimate of Sarna-Wojciki et al (1981)  is a minimum estimate because of compaction and the absence of extrapolation. We assume that the actual erupted mass is 30% larger based on differences between  Sarna-Wojciki et al (1981) and Pyle (1989)/Bonadonna and Houghton (2005) for the earlier phases if this eruption. Uncertainty is taken so that the lower bound is the estimate by Sarna-Wojciki et al (1981). The plume height of 3 pulses >12km a.s.l is reported in Harris et al (1981), but height was exceeding 12km a.s.l for no more than 25min (out of 2h40). The average plume height thus likely donâ€™t exceed 12km given height of pulses. We found no other information on plume height and arbitrarly assumed that the 95% lower bound on plume height was 50% below the higher bound resulting in an average plume height of 9 +/- 3 km a.s.l."
Mt St Helens,,,2005,D,3/9/2005 1:25,2550,6,2.5,2.50E+08,1.25E+08,0.5,0.333,19,16,0.010650721,16.73570329,0.004451072,276.6412751,752.7612138,48.6110103,0.003141988,"Mastin (2007), Matoza, Hedlin and GarcÃ©s (2007), Scott, Sherrod and Gardner (2008)",There was very little ash in the plume and Mastin (2007) tests a range of gas content of 0.02-0.35; we choose average gas content and uncertainties matching this range.
Mt Pinatubo,15.13,120.35,Jun-91,S,6/12/1991 0:51,1750,18,4,1.40E+10,7.00E+09,1,0.33,,,0.012983423,10.1424275,0.000975144,291.8139728,827.5886304,61.25131852,0.009981482,"Paladio-Melosantos et al (1996), Newhall and Punongbayan (1996) , Holasek et al (1996), Hoblitt et al (1996), Koyaguchi and Ohno (2001)",We assumed 50% uncertainty on erupted mass
Mt Pinatubo,,,,,6/15/1991 5:30,1750,33.5,4.5,4.00E+12,2.00E+12,6,3,6,2,0.020039661,17.94780468,0.000974724,291.7348075,823.5078641,67.95908024,0.011056058,"Paladio-Melosantos et al (1996), Newhall and Punongbayan (1996) , Holasek et al (1996), Scaillet and Evans (1999), Koyaguchi and Ohno (2001)",We assumed 50% uncertainty on erupted mass. Different interpretation of the duration over which tephra layer C is deposited results in large uncertainty on duration and average plume height.
Mt Redoubt,60.485,-152.742,Dec-89,,12/14/1989 18:47,3108,7,3.5,7.50E+08,3.50E+08,0.38,0.11,,,0.011983796,31.69427173,0.007260758,261.4267985,687.639294,55.34359895,0.001230612,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994)","Brantley (1990) reports plume heights from visual observations that are thought to be minumum estimates. However, no additional information on plume height is available. We arbitrarly assign a 50% uncertainty."
Mt Redoubt,,,,S,12/15/1989 10:40,3108,9,4.5,2.10E+10,6.00E+09,1,0.3,,,0.013825499,32.47623541,0.006056616,264.3996766,691.6728186,45.08872823,0.001306552,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994)","Brantley (1990) reports plume heights from visual observations that are thought to be minumum estimates. However, no additional information on plume height is available. We arbitrarly assign a 50% uncertainty."
Mt Redoubt,,,,W,12/19/1989 15:30,3108,6,3,5.00E+08,1.00E+08,0.15,0.05,,,0.015036204,16.59783892,0.005322527,256.6255491,673.1916091,30.01912326,0.000464923,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994)","Brantley (1990) reports plume heights from visual observations that are thought to be minumum estimates. However, no additional information on plume height is available. We arbitrarly assign a 50% uncertainty."
Mt Redoubt,,,Mar-09,,3/23/2009 7:34,2300,11.5,2,9.60E+09,4.80E+09,1.12,0.3,4.5,0.9,0.017067594,14.15800083,0.001766491,256.7528754,746.5001424,65.89121356,0.000958357,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to events 1-4 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
Mt Redoubt,,,,,3/23/2009 13:30,2300,13.5,3,4.40E+09,2.20E+09,0.33,0.1,4.5,0.9,0.01802678,12.83952721,0.00126774,258.2835578,746.2295351,86.20121529,0.001396439,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to event 5 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
Mt Redoubt,,,,,3/24/2009 4:40,2300,13.5,3,1.51E+10,7.00E+09,0.25,0.08,4.5,0.9,0.017872767,10.82361072,0.001048571,260.7969488,743.2626218,78.0439195,0.001475498,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to event 6 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
